incident,goal,assets,solutions
"It then sends the following IRC commands: NICK bxphzrjbxp USER bxphzrjbxp bxphzrjbxp bxphzrjbxp bxphzrjbxp To make sure it connected to the correct server, the Trojan checks for the message sent from the IRC server after the bot connects: Welcome to the MpkNet IRC Network The MPK bot does not join a specific IRC channel, instead sending private messages (PRIVMSG) to a user with the nick “mpk”",confidentiality,networks,endpoint detection and response
Sandworm Team also collected a list of computers using specific software as part of its targeting efforts.,confidentiality,application software,application whitelisting
Remsec schedules the execution one of its modules by creating a new scheduler task.,confidentiality,running processes,application whitelisting
Kinsing has created and run a Bitcoin cryptocurrency miner.,availability,running processes,endpoint detection and response
Most utilities include functionality to encrypt and/or compress data.,confidentiality,users data,stronger key exchange algorithms
"msiexec, odbcconf",confidentiality,application software,application whitelisting
"APT29 collected emails from specific individuals, such as executives and IT staff, using New-MailboxExportRequest followed by Get-MailboxExportRequest.",confidentiality,email accounts,data loss prevention
One technique the group has used was to perform a WMI query SELECT * FROM MSAcpi_ThermalZoneTemperature to check the temperature to see if it’s running in a virtual environment.,confidentiality,running processes,endpoint detection and response
"Zeus Panda checks processes on the system and if they meet the necessary requirements, it injects into that process.",confidentiality,running processes,application whitelisting
WinMM sets a WH_CBT Windows hook to collect information on process creation.,confidentiality,running processes,endpoint detection and response
StreamEx has the ability to enumerate processes.,confidentiality,running processes,application whitelisting
TEMP.Veles has obtained and used tools such as Mimikatz and PsExec.,confidentiality,authentication data,endpoint detection and response
Chimera has used credential stuffing against victim's remote services to obtain valid accounts.,confidentiality,authentication data,multifactor authentication
Chaes has decrypted an AES encrypted binary file to trigger the download of other files.,confidentiality,application software,endpoint detection and response
Webshell can issue commands via HTTP POST.,confidentiality,application software,application whitelisting
"In order to move laterally from a compromised host, adversaries may take advantage of trust relationships established with other systems via public key authentication in active SSH sessions by hijacking an existing connection to another system.",confidentiality,authentication data,multifactor authentication
They can modify the tool by removing the indicator and using the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems.,integrity,application software,application whitelisting
There are several known examples of this occurring.,confidentiality,authentication data,application whitelisting
AppleScript,integrity,users data,application whitelisting
APT-C-36 has used port 4050 for C2 communications.,confidentiality,networks,network segmentation and filtering
Adversaries may gather information about the victim's client configurations that can be used during targeting.,confidentiality,running processes,endpoint detection and response
Metamorfo has injected a malicious DLL into the Windows Media Player process .,integrity,running processes,application whitelisting
4H RAT obfuscates C2 communication using a 1-byte XOR with the key 0xBE.,confidentiality,authentication data,endpoint detection and response
"Even though Delphi Cannon uses POP3S and SMTPS for its C2 communications like Cannon, it is arguably easier to defend against as it uses an actor owned domain that defenders can easily block and not a legitimate email provider such as Seznam",confidentiality,email accounts,network segmentation and filtering
"If an SMS message contained either a phone number, IMSI number, or keyword that matched the predefined list, it is saved to a CSV file for later theft by the threat actor.",confidentiality,users data,data loss prevention
UEFI BIOS ,integrity,operating system,endpoint detection and response
MuddyWater has used developed tools in Python including Out1.,confidentiality,users data,endpoint detection and response
"After running the malware, the batch script goes on to cleans up all signs of its existence on the system, this includes:  Deletion of all initial files created during installation, as well as all associated files required on disk during initial execution",integrity,running processes,endpoint detection and response
!DWN  Downloads a file from a specified URL,confidentiality,users data,application whitelisting
Web Distributed Authoring and Versioning  is also typically used by Windows systems as a backup protocol when SMB is blocked or fails.,confidentiality,users data,network segmentation and filtering
Taidoor has modified the HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run key for persistence.,integrity,operating system,application whitelisting
"In Kubernetes, if an adversary has sufficient permissions, they may gain remote execution in a container in the cluster via interaction with the Kubernetes API server, the kubelet, or by running a command such as kubectl exec.",confidentiality,running processes,access controls
"Depending on the browser, adversaries may also manipulate an extension's update url to install updates from an adversary controlled server or manipulate the mobile configuration file to silently install additional extensions.",integrity,application software,application whitelisting
"Many email clients allow users to create inbox rules for various email functions, including moving emails to other folders, marking emails as read, or deleting emails.",confidentiality,email accounts,access controls
"2 Successful payload download Astaroth’s initial payload is a malicious .lnk file, a common delivery method used by threat actors",availability,users data,endpoint detection and response
Higaisa used JavaScript to execute additional files.,integrity,application software,application whitelisting
Successful authenticated API calls can return data such as the operating system platform and status of a particular instance or the model view of a virtual machine.,confidentiality,operating system,access controls
Netsh.exe  is a command-line scripting utility used to interact with the network configuration of a system.,confidentiality,networks,application whitelisting
MegaCortex has checked the number of CPUs in the system to avoid being run in a sandbox or emulator.,confidentiality,running processes,endpoint detection and response
Blue Mockingbird has used Mimikatz to retrieve credentials from LSASS memory.,confidentiality,authentication data,endpoint detection and response
FIN7 has conducted broad phishing campaigns using malicious links.,confidentiality,email accounts,endpoint detection and response
AuditCred can search through folders and files on the system.,confidentiality,authentication data,access controls
Bundlore creates a new key pair with ssh-keygen and drops the newly created user key in authorized_keys to enable remote login.,confidentiality,authentication data,multifactor authentication
ShadowPad has used UDP for C2 communications.,confidentiality,networks,network segmentation and filtering
"BitPaymer has used dynamic API resolution to avoid identifiable strings within the binary, including RegEnumKeyW.",confidentiality,users data,endpoint detection and response
Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code.,availability,running processes,application whitelisting
"Patchwork has used spearphishing with links to try to get users to click, download and open malicious files.",confidentiality,email accounts,application whitelisting
Adversaries may craft malicious stored procedures that can provide a persistence mechanism in SQL database servers.,integrity,application software,access controls
Xbash can create a Startup item for persistence if it determines it is on a Windows system.,confidentiality,operating system,application whitelisting
It was pretending to be an Adobe flash player update installer on a compromised website to lure users to click for the execution,confidentiality,application software,application whitelisting
Stolen Pencil sent spearphishing emails containing links to domains controlled by the threat actor.,confidentiality,email accounts,endpoint detection and response
CosmicDuke searches attached and mounted drives for file extensions and keywords that match a predefined list.,confidentiality,users data,data loss prevention
"Typical web servers and applications only require GET, POST, and HEAD.Where possible, minimize server fingerprinting by configuring web servers to avoid responding with banners identifying the server software and version number.Secure both the operating system and the application.Update and patch production servers regularly.Disable potentially harmful SQL-stored procedure calls.Sanitize and validate input to ensure that it is properly typed and does not contain escaped code.Consider using type-safe stored procedures and prepared statements.Audit transaction logs regularly for suspicious activity.Perform penetration testing on web services.Ensure error messages are generic and do not expose too much information.Permissions, Privileges, and Access ControlsSystem operators should take the following steps to limit permissions, privileges, and access controls.Reduce privileges to only those needed for a user’s duties.Restrict users’ ability (permissions) to install and run unwanted software applications, and apply the principle of “Least Privilege” to all systems and services",confidentiality,application software,access controls
Adversaries may use this technique to replace legitimate binaries with malicious ones as a means of executing code at a higher permissions level.,integrity,application software,application whitelisting
HOPLIGHT has been observed enumerating system drives and partitions.,confidentiality,operating system,endpoint detection and response
APT19 configured its payload to inject into the rundll32.exe.,integrity,running processes,application whitelisting
Adversaries may craft various search engine queries depending on what information they seek to gather.,confidentiality,users data,data loss prevention
FIN7 has used mshta.exe to execute VBScript to execute malicious code on victim systems.,confidentiality,running processes,application whitelisting
"Lazarus Group malware IndiaIndia saves information gathered about the victim to a file that is compressed with Zlib, encrypted, and uploaded to a C2 server.",confidentiality,users data,endpoint detection and response
Netwalker's DLL has also been embedded within the PowerShell script in hex format.,confidentiality,running processes,endpoint detection and response
Tropic Trooper used letmein to scan for saved usernames on the target system.,confidentiality,authentication data,access controls
menuPass has used the Csvde tool to collect Active Directory files and data.,confidentiality,authentication data,access controls
"In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a USB device introduced by a user.",confidentiality,users data,data loss prevention
Adversaries may search in different open databases depending on what information they seek to gather.,confidentiality,users data,data loss prevention
Machete has distributed Machete through a fake blog website.,confidentiality,users data,application whitelisting
Threat Group-3390 has used CVE-2014-6324 to escalate privileges.,confidentiality,operating system,update security patches
Conficker variants used the Windows AUTORUN feature to spread through USB propagation.,confidentiality,operating system,disable macros
A Patchwork payload has searched all fixed drives on the victim for files matching a specified list of extensions.,confidentiality,users data,data loss prevention
"One TYPEFRAME variant decrypts an archive using an RC4 key, then decompresses and installs the decrypted malicious DLL module.",confidentiality,application software,endpoint detection and response
"By default, XDG autostart entries are stored within the /etc/xdg/autostart or ~/.config/autostart directories and have a .desktop file extension.",integrity,running processes,application whitelisting
OilRig has created scheduled tasks that run a VBScript to execute a payload on victim machines.,confidentiality,running processes,application whitelisting
"The time of the observed attacker activity coincides with Iran’s Daylight Time, which is +0430 UTC",confidentiality,authentication data,network segmentation and filtering
BoomBox has the ability to download next stage malware components to a compromised system.,confidentiality,users data,endpoint detection and response
Higaisa used AES-128 to encrypt C2 traffic.,confidentiality,users data,stronger key exchange algorithms
PoisonIvy can inject a malicious DLL into a process.,integrity,running processes,application whitelisting
RogueRobin uses a command prompt to run a PowerShell script from Excel.,confidentiality,application software,disable macros
An APT3 downloader establishes SOCKS5 connections for its initial C2.,confidentiality,networks,endpoint detection and response
Ebury can disable SELinux Role-Based Access Control and deactivate PAM modules.,integrity,operating system,access controls
Adversaries can collect or forward email from mail servers or clients.,confidentiality,email accounts,multifactor authentication
Turla has used net accounts and net accounts /domain to acquire password policy information.,confidentiality,authentication data,access controls
TA505 has signed payloads with code signing certificates from Thawte and Sectigo.,integrity,application software,application whitelisting
"WannaCry searches for variety of user files by file extension before encrypting them using RSA and AES, including Office, PDF, image, audio, video, source code, archive/compression format, and key and certificate files.",confidentiality,users data,endpoint detection and response
Tools such as PsExec and sc.exe can accept remote servers as arguments and may be used to conduct remote execution.,confidentiality,running processes,network segmentation and filtering
Root certificates  can also be cloned and reinstalled.,integrity,authentication data,stronger key exchange algorithms
Manipulating TLS callbacks may be performed by allocating and writing to specific offsets within a process’ memory space using other Process Injection techniques such as Process Hollowing.,integrity,running processes,endpoint detection and response
FinFisher uses token manipulation with NtFilterToken as part of UAC bypass.,confidentiality,running processes,user account control
Sandworm Team has crafted phishing emails containing malicious hyperlinks.,confidentiality,email accounts,endpoint detection and response
An adversary can create a new access token that duplicates an existing token using DuplicateToken.,confidentiality,authentication data,access controls
Bonadan has maliciously altered the OpenSSH binary on targeted systems to create a backdoor.,confidentiality,application software,application whitelisting
Ragnar Locker has used rundll32.exe to execute components of VirtualBox.,confidentiality,running processes,application whitelisting
"During the macOS initialization startup, the launchd process loads the parameters for launch-on-demand system-level daemons from plist files found in /System/Library/LaunchDaemons/ and /Library/LaunchDaemons/.",integrity,running processes,application whitelisting
"Domains provide centralized identity management, allowing users to login using one set of credentials across the entire network.",confidentiality,authentication data,multifactor authentication
Active Setup is a Windows mechanism that is used to execute programs when a user logs in.,confidentiality,running processes,user account control
"An APT3 downloader first establishes a SOCKS5 connection to 192.157.198.103 using TCP port 1913; once the server response is verified, it then requests a connection to 192.184.60.229 on TCP port 81.",confidentiality,networks,network segmentation and filtering
"GRIFFON has used a persistence module that stores the implant inside the Registry, which executes at logon.",confidentiality,operating system,endpoint detection and response
TajMahal has the ability to capture keystrokes on an infected host.,confidentiality,authentication data,endpoint detection and response
It also uses launchctl to unload all Launch Daemons when updating to a newer version of LoudMiner.,availability,running processes,application whitelisting
The at utility exists as an executable within Windows for scheduling tasks at a specified time and date.,confidentiality,application software,application whitelisting
Avaddon encrypts the victim system using a combination of AES256 and RSA encryption schemes.,confidentiality,users data,endpoint detection and response
Adversaries may mimic common operating system GUI components to prompt users for credentials with a seemingly legitimate prompt.,confidentiality,authentication data,multifactor authentication
Adversaries may leverage a user's credentials and interact directly with the Exchange server to acquire information from within a network.,confidentiality,authentication data,multifactor authentication
GuLoader can download further malware for execution on the victim's machine.,confidentiality,running processes,application whitelisting
Eventually it will start new processes with the stored token attached.,confidentiality,running processes,application whitelisting
"The RAT, however, had a multitude of functionalities (as listed in the table below) such as to download and execute, compress, encrypt, upload, search directories, etc",confidentiality,running processes,endpoint detection and response
jRAT can map UPnP ports.,confidentiality,networks,network segmentation and filtering
FIN7 has used application shim databases for persistence.,integrity,application software,application whitelisting
Adversaries may access network configuration files to collect sensitive data about the device and the network.,confidentiality,networks,access controls
NDiskMonitor obtains the victim computer name and encrypts the information to send over its C2 channel.,confidentiality,users data,endpoint detection and response
mericcs.org 221.121.138.141 Domain used for spear phish sender e-mail address and to host malicious documents,confidentiality,email accounts,endpoint detection and response
"The sudoers file, /etc/sudoers, describes which users can run which commands and from which terminals.",confidentiality,authentication data,access controls
"Silence has named its backdoor ""WINWORD.exe"".",integrity,running processes,application whitelisting
Wizard Spider has used file deletion to remove some modules and configurations from an infected host after use.,availability,running processes,endpoint detection and response
"KGH_SPY can save collected system information to a file named ""info"" before exfiltration.",confidentiality,running processes,data loss prevention
"Previous to macOS 11, adversaries could silently install browser extensions via the command line using the profiles tool to install malicious .mobileconfig files.",confidentiality,application software,application whitelisting
menuPass has used net use to conduct connectivity checks to machines.,confidentiality,networks,network segmentation and filtering
"Following the compromise of this system, analysts identified FIN6 leveraged stolen credentials to move laterally within the environment using the Windows’ Remote Desktop Protocol (RDP).",confidentiality,authentication data,multifactor authentication
Olympic Destroyer uses WMI to help propagate itself across a network.,confidentiality,networks,network segmentation and filtering
Siloscape uses Tor to communicate with C2.,confidentiality,networks,endpoint detection and response
BADFLICK has relied upon users clicking on a malicious attachment delivered through spearphishing.,confidentiality,email accounts,disable macros
Mustang Panda has created the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Run\AdobelmdyU to maintain persistence.,availability,operating system,application whitelisting
Astaroth uses ActiveX objects for file execution and manipulation.,confidentiality,application software,application whitelisting
Daserf can execute shell commands.,confidentiality,running processes,application whitelisting
Sibot can decrypt data received from a C2 and save to a file.,confidentiality,users data,endpoint detection and response
SpicyOmelette has been executed through malicious links within spearphishing emails.,confidentiality,email accounts,endpoint detection and response
CallMe exfiltrates data to its C2 server over the same protocol as C2 communications.,confidentiality,users data,data loss prevention
Adversaries may abuse Pre-OS Boot mechanisms as a way to establish persistence on a system.,integrity,operating system,endpoint detection and response
FruitFly executes and stores obfuscated Perl scripts.,integrity,application software,application whitelisting
njRAT can identify remote hosts on connected networks.,confidentiality,networks,network segmentation and filtering
"Additionally, Rising Sun can decrypt its configuration data at runtime.",confidentiality,application software,stronger key exchange algorithms
TrickBot can steal passwords from the KeePass open source password manager.,confidentiality,authentication data,endpoint detection and response
Dyre has the ability to create files in a TEMP folder to act as a database to store information.,confidentiality,authentication data,application whitelisting
"Threat Group-3390 has detached network shares after exfiltrating files, likely to evade detection.",confidentiality,users data,data loss prevention
yty packs a plugin with UPX.,integrity,running processes,application whitelisting
"For example, if C:\example path precedes C:\Windows\system32 is in the PATH environment variable, a program that is named net.exe and placed in C:\example path will be called instead of the Windows system ""net"" when ""net"" is executed from the command-line.",integrity,application software,application whitelisting
XAgentOSX contains the getInfoOSX function to return the OS X version as well as the current user.,confidentiality,operating system,endpoint detection and response
Remote Service Session Hijacking differs from use of Remote Services because it hijacks an existing session rather than creating a new session using Valid Accounts.,integrity,authentication data,multifactor authentication
Metamorfo uses JavaScript to get the system time.,confidentiality,running processes,application whitelisting
Zeus Panda can perform keylogging on the victim’s machine by hooking the functions TranslateMessage and WM_KEYDOWN.,confidentiality,authentication data,endpoint detection and response
"Host enumeration and lateral movement After gaining an initial foothold in a compromised environment, the threat actors quickly identify and explore accessible systems",confidentiality,networks,network segmentation and filtering
WMI is an administration feature that provides a uniform environment to access Windows system components.,confidentiality,running processes,access controls
Cobalt Strike can use self signed Java applets to execute signed applet attacks.,confidentiality,application software,application whitelisting
Taidoor can use TCP for C2 communications.,confidentiality,networks,network segmentation and filtering
Adversaries may use search engines to collect information about victims that can be used during targeting.,confidentiality,users data,data loss prevention
Turla has used the Registry to store encrypted payloads.,confidentiality,operating system,endpoint detection and response
Volgmer can execute commands on the victim's machine.,confidentiality,running processes,application whitelisting
"Locations where the operating system looks for programs/resources, such as file directories and in the case of Windows the Registry, could also be poisoned to include malicious payloads.",integrity,operating system,application whitelisting
SUPERNOVA has masqueraded as a legitimate SolarWinds DLL.,integrity,application software,application whitelisting
Stored procedures can be invoked via SQL statements to the database using the procedure name or via defined events .,integrity,application software,access controls
"Certificate authorities exist that allow adversaries to acquire SSL/TLS certificates, such as domain validation certificates, for free.",confidentiality,users data,stronger key exchange algorithms
GOLD SOUTHFIELD has breached Managed Service Providers  to deliver malware to MSP customers.,confidentiality,users data,endpoint detection and response
Thrip has used WinSCP to exfiltrate data from a targeted organization over FTP.,confidentiality,users data,data loss prevention
"Keylogging is likely to be used to acquire credentials for new access opportunities when OS Credential Dumping efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured.",confidentiality,authentication data,multifactor authentication
OceanSalt can collect the victim’s IP address.,confidentiality,networks,firewall rules harden
Another Lazarus Group malware sample checks for the presence of the following Registry key:HKEY_CURRENT_USER\Software\Bitcoin\Bitcoin-Qt.,confidentiality,application software,endpoint detection and response
Comnie appends a total of 64MB of garbage data to a file to deter any security products in place that may be scanning files on disk.,integrity,users data,data loss prevention
The group has also used downloaded encrypted payloads over HTTP.,confidentiality,application software,endpoint detection and response
"The value is derived using the IOService to access the IOPlatformUUID property, which is equivalent to the “Hardware UUID” listed in the system information application, as seen in the Figure 3 screenshot of our analysis system",integrity,users data,access controls
This is common behavior that can be used across different platforms and the network to evade defenses.,confidentiality,networks,network segmentation and filtering
Machete has has relied on users opening malicious links delivered through spearphishing to execute malware.,confidentiality,email accounts,endpoint detection and response
"QakBot can inject itself into processes including explore.exe, Iexplore.exe, and Mobsync.exe.",confidentiality,running processes,application whitelisting
NETWIRE can discover and collect victim system information.,confidentiality,running processes,endpoint detection and response
HTTPBrowser deletes its original installer file once installation is complete.,availability,application software,application whitelisting
EvilBunny has used time measurements from 3 different APIs before and after performing sleep operations to check and abort if the malware is running in a sandbox.,confidentiality,running processes,endpoint detection and response
Lokibot has the ability to discover the username on the infected host.,confidentiality,authentication data,endpoint detection and response
Threat Group-1314 actors spawned shells on remote systems on a victim network to execute commands.,confidentiality,running processes,endpoint detection and response
Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.,confidentiality,networks,network segmentation and filtering
Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.,confidentiality,authentication data,access controls
Olympic Destroyer will shut down the compromised system after it is done modifying system configuration settings.,availability,operating system,endpoint detection and response
"Adversaries can use purchased domains for a variety of purposes, including for Phishing, Drive-by Compromise, and Command and Control.",confidentiality,email accounts,endpoint detection and response
Adversaries may abuse Unix shell commands and scripts for execution.,confidentiality,running processes,application whitelisting
Subdomain hijacking can occur when organizations have DNS entries that point to non-existent or deprovisioned resources.,confidentiality,networks,access controls
Daserf can download remote files.,confidentiality,application software,application whitelisting
UNC2452 exploited CVE-2020-0688 against the Microsoft Exchange Control Panel to regain access to a network.,confidentiality,email accounts,update security patches
down_new has the ability to base64 encode C2 communications.,confidentiality,authentication data,endpoint detection and response
"Adversaries may upload backdoored files, such as application binaries, virtual machine images, or container images, to third-party software stores or repositories .",integrity,application software,application whitelisting
JPIN can communicate over FTP.,confidentiality,authentication data,network segmentation and filtering
Trojan.Karagany can dump passwords and save them into \ProgramData\Mail\MailAg\pwds.txt.,confidentiality,authentication data,endpoint detection and response
Lucifer can crash a debugger by passing a format string to OutputDebugStringA.,confidentiality,running processes,application whitelisting
Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts.,confidentiality,authentication data,multifactor authentication
BackConfig has the ability to use hidden columns in Excel spreadsheets to store executable files or commands for VBA macros.,confidentiality,application software,disable macros
"SUNBURST source code used generic variable names and pre-obfuscated strings, and was likely sanitized of developer comments before being added to SUNSPOT.",confidentiality,application software,application whitelisting
"Cobalt Strike can use Base64, URL-safe Base64, or NetBIOS encoding in its C2 traffic.",confidentiality,networks,network segmentation and filtering
BlackEnergy has removed the watermark associated with enabling the TESTSIGNING boot configuration option by removing the relevant strings in the user32.dll.mui of the system.,integrity,operating system,application whitelisting
"Examples include Arp, ipconfig/ifconfig, nbtstat, and route.",confidentiality,networks,network segmentation and filtering
GrimAgent has the ability to use HTTP for C2 communications.,confidentiality,networks,network segmentation and filtering
APT12 has attempted to get victims to open malicious Microsoft Word and PDF attachment sent via spearphishing.,confidentiality,email accounts,disable macros
Wiarp creates a backdoor through which remote attackers can create a service.,confidentiality,running processes,endpoint detection and response
"Security controls such as web content filters may not identify smuggled malicious files inside of HTML/JS files, as the content may be based on typically benign MIME types such as text/plain and/or text/html.",integrity,application software,application whitelisting
 COM execution,integrity,running processes,application whitelisting
"Since the system only executes the first existing file in the listed order, adversaries have used ~/.bash_profile to ensure execution.",integrity,operating system,application whitelisting
GALLIUM created high-privileged domain user accounts to maintain access to victim networks.,confidentiality,authentication data,access controls
PlugX can enumerate and query for information contained within the Windows Registry.,confidentiality,operating system,endpoint detection and response
BOOSTWRITE has used the DWriteCreateFactory function to load additional modules.,integrity,running processes,application whitelisting
"In this case, the technique could be used for privilege escalation from user to administrator or SYSTEM or from administrator to SYSTEM, depending on the program.",availability,running processes,user account control
"Machete has used pyobfuscate, zlib compression, and base64 encoding for obfuscation.",confidentiality,application software,endpoint detection and response
Cuba can query service status using QueryServiceStatusEx function.,availability,running processes,access controls
VBScript is a default scripting language on Windows hosts and can also be used in place of JavaScript on HTML Application  webpages served to Internet Explorer .,confidentiality,application software,disable macros
RedLeaves can obtain information about the logged on user both locally and for Remote Desktop sessions.,confidentiality,running processes,access controls
OSInfo enumerates local and domain users USBferry can use net user to gather information about local accounts.,confidentiality,authentication data,user account control
"During the execution preparation phase of a program, the dynamic linker loads specified absolute paths of shared libraries from environment variables and files, such as LD_PRELOAD on Linux or DYLD_INSERT_LIBRARIES on macOS.",integrity,running processes,application whitelisting
Lazarus Group malware SierraBravo-Two generates an email message via SMTP containing information about newly infected victims.,confidentiality,email accounts,endpoint detection and response
ZIRCONIUM has used GitHub to host malware linked in spearphishing e-mails.,confidentiality,email accounts,endpoint detection and response
MegaCortex has used code signing certificates issued to fake companies to bypass security controls.,integrity,application software,application whitelisting
"TAINTEDSCRIBE can randomly pick one of five hard-coded IP addresses for C2 communication; if one of the IP fails, it will wait 60 seconds and then try another IP address.",availability,networks,network segmentation and filtering
These files don’t show up when a user browses the file system with a GUI or when using normal commands on the command line.,confidentiality,users data,application whitelisting
"In some Linux systems, this is set by default to ""ignoreboth"" which covers both of the previous examples.",confidentiality,operating system,access controls
4,confidentiality,authentication data,application whitelisting
GravityRAT has been delivered via Word documents using DDE for execution.,confidentiality,users data,disable macros
"One variant of BlackEnergy locates existing driver services that have been disabled and drops its driver component into one of those service's paths, replacing the legitimate executable.",integrity,running processes,application whitelisting
Several Ke3chang backdoors achieved persistence by adding a Run key.,integrity,running processes,application whitelisting
HTTPBrowser has used DLL side-loading.,confidentiality,application software,application whitelisting
APT1 listed connected network shares.,confidentiality,networks,access controls
KONNI bypassed UAC with the “AlwaysNotify” settings.,integrity,operating system,user account control
Ramsay can hijack outdated Windows application dependencies with malicious versions of its own DLL payload.,integrity,application software,application whitelisting
"APT32 has also impersonated the legitimate Flash installer file name ""install_flashplayer.exe"".",integrity,application software,application whitelisting
Adversaries may execute active reconnaissance scans to gather information that can be used during targeting.,confidentiality,networks,network segmentation and filtering
APT41 has also environmentally keyed second stage malware with an RC5 key derived in part from the infected system's volume serial number.,confidentiality,operating system,endpoint detection and response
A JHUHUGIT variant encodes C2 POST data base64.,confidentiality,authentication data,endpoint detection and response
Whitefly has used an open-source tool to exploit a known Windows privilege escalation vulnerability  on unpatched computers.,confidentiality,operating system,update security patches
APT39 has communicated with C2 through files uploaded to and downloaded from DropBox.,confidentiality,users data,data loss prevention
Encrypting communications using AES and RSA public key cryptography   5,confidentiality,users data,stronger key exchange algorithms
CookieMiner has used a Unix shell script to run a series of commands targeting macOS.,confidentiality,running processes,endpoint detection and response
Adversaries may bridge network boundaries by modifying a network device’s Network Address Translation  configuration.,confidentiality,networks,network segmentation and filtering
"The module loader can load DLLs:
* via specification of the  DLL pathname in the IMPORT directory;
* via EXPORT forwarded to another DLL, specified with  pathname ;
* via an NTFS junction or symlink program.exe.local with the fully-qualified or relative pathname of a directory containing the DLLs specified in the IMPORT directory or forwarded EXPORTs;
* via &#x3c;file name=""filename.extension"" loadFrom=""fully-qualified or relative pathname""&#x3e; in an embedded or external ""application manifest"".",integrity,application software,application whitelisting
Avaddon looks for and attempts to stop database processes.,integrity,running processes,endpoint detection and response
SoreFang can enumerate domain groups by executing net.exe group /domain.,confidentiality,authentication data,access controls
"APT37 injects its malware variant, ROKRAT, into the cmd.exe process.",integrity,running processes,endpoint detection and response
Valak has the ability to enumerate running processes on a compromised host.,confidentiality,running processes,endpoint detection and response
"After the C2 information has been collected, BADNEWS leverages HTTP for communication with the remote servers",confidentiality,networks,endpoint detection and response
